"","time","reporting_unit","central_cases","central_intensity","lo_0_25_cases","hi_0_25_cases","lo_0_5_cases","hi_0_5_cases","lo_0_8_cases","hi_0_8_cases","lo_0_95_cases","hi_0_95_cases","lo_0_25_intensity","hi_0_25_intensity","lo_0_5_intensity","hi_0_5_intensity","lo_0_8_intensity","hi_0_8_intensity","lo_0_95_intensity","hi_0_95_intensity","1pct_cumulative","2_5pct_cumulative","10pct_cumulative","25pct_cumulative","50pct_cumulative","75pct_cumulative","90pct_cumulative","97_5pct_cumulative","99pct_cumulative","country","countryCode","dead","cum_dead","pop","Expected","mMult","timeNumeric","reporting_unit_fac","reporting_unit_int","logExpected"
"16",2020-01-01,"Switzerland",0,0.34341100768749,0,3,0,4,0,6,0,6,0.0700302362424751,1.0868107416322,0.027927633316857,1.39583360636533,0.00690170900406888,1.80643615682988,0.00259804625908912,2.40052994395624,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-01-01,"United Kingdom",0,0.422112298018663,0,4,0,5,0,6,0,9,0.0873161369698589,1.34098855350791,0.0364375567886096,1.72344206681883,0.00638534523964602,2.20734403345838,0.00097178928484968,3.08492737885034,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-01-01,"United States",2,1.7265603760676,0,7,0,8,0,10,0,10,1.03349423417167,2.61945659215038,0.827792424471352,3.00282228285605,0.553057988344081,3.41510190755926,0.353470305150545,4.08886072021682,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-01-01,"United States Aggregated",3,2.87027508365885,0,10,0,10,0,10,0,12,1.63387245790917,4.69264782518936,1.35238958364408,5.24250115715918,1.03298950958575,5.92800798629294,0.866961985294527,6.79713200889226,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-01-01,"Washington",0,0.449500190534002,0,3,0,4,0,6,0,7,0.0933813688391189,1.27710574717139,0.0478959552194307,1.57321595694715,0.0144731190004887,2.07321331827245,0.00282148373464905,2.45586467076266,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-01-02,"Belgium",0,0.337010068374424,0,3,0,3,0,4,0,5,0.0554946193093774,1.16786280782593,0.020444460277055,1.60546782651438,0.00637993933143125,1.93064293431857,0.00114163600715332,2.57483156141833,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-01-02,"California",0,0.33450042816395,0,3,0,4,0,4,0,8,0.0661454911195557,0.880124124574489,0.0289760693598852,1.18833621990104,0.00760081378596567,1.60019118206583,0.00120795548572382,2.12508436865248,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020-01-02,"Canada",0,0.508928607131163,0,4,0,5,0,6,0,6,0.116703925187261,1.52804362745529,0.0559267282447399,1.94071428779016,0.0128042743742819,2.6016184408755,0.00315884975802727,3.11468901543581,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-01-02,"France",0,0.767265005837834,0,5,0,6,0,7,0,9,0.204681285123583,1.87353192187965,0.080475205570227,2.24969520788428,0.0178499466972325,2.73133204430412,0.00579339406477588,3.30929206735684,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-01-02,"Germany",0,0.300630934503187,0,2,0,4,0,5,0,7,0.0620503732279952,0.989724062415081,0.0273556443914163,1.30888129763121,0.00720539596068795,1.70421885856676,0.00200890394660079,2.01782409327817,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-01-02,"Hubei",1,1.75901667187667,0,7,0,8,0,9,0,10,0.837307680102173,2.68935760847184,0.596488028449323,2.97089515500401,0.231698462053239,3.44011718715768,0.0361561918989626,3.90108723188556,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-01-02,"Iran",0,0.446719941566261,0,4,0,4,0,6,0,10,0.0814513223654107,1.37002855536344,0.0333928616588312,1.64996178747399,0.0128916591844563,2.4043706203685,0.00515758452209867,2.78933880630466,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-01-02,"Italy",0,0.539162003294149,0,4,0,4,0,6,0,8,0.128439214493409,1.36198263685599,0.0560646508257562,1.60936058624275,0.0190052982516428,2.1051360155439,0.0028665864326787,2.60284327606906,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-01-02,"Louisiana",0,0.298861073994687,0,3,0,4,0,4,0,7,0.0505011650256699,0.978630642462192,0.0238541149823538,1.25945656577932,0.00664410070855919,1.76788347910788,0.00135830413014346,2.56397075217124,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-01-02,"Michigan",0,0.332604111101008,0,3,0,4,0,5,0,6,0.0698905166452071,1.09161517891053,0.0284869569601011,1.47836427819855,0.0077871288410272,1.88806521154988,0.00252036867765801,2.57214786033862,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2020-01-02,"Netherlands",0,0.437575111996274,0,3,0,3,0,4,0,5,0.0908465936053969,1.18814510376819,0.0324055264806922,1.51673195550509,0.0138997216862234,1.89629514530053,0.00465281570629054,2.60470981068753,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-01-02,"New Jersey",0,0.471170818679097,0,3,0,4,0,6,0,6,0.100416868522672,1.27136802311645,0.0449889095103865,1.56200311859974,0.0136011414384496,2.06388947088999,0.00209791511251725,2.80662637752672,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2020-01-02,"New York",0,0.319399164313674,0,2,0,3,0,5,0,6,0.0613653512176294,1.08517789785386,0.0295858593178978,1.33129622914623,0.00916060268313085,1.85676852460067,0.00110907421853164,2.77733565659277,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2020-01-02,"Spain",0,0.350219638824742,0,3,0,5,0,5,0,6,0.0681972094993833,1.22108207935661,0.0340025881081245,1.61316170847604,0.0127567667153898,2.30017389586674,0.00548904067247509,2.89401046027117,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020-01-02,"Sweden",0,0.402093804310786,0,3,0,4,0,4,0,5,0.0757246075856834,1.07530544828555,0.0337168213113698,1.35664530468856,0.0158029298318528,1.86826676017821,0.0018906288438108,2.21990467997369,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020-01-02,"Switzerland",0,0.34341100768749,0,3,0,4,0,5,0,5,0.0700302362424752,1.0868107416322,0.027927633316857,1.39583360636533,0.00690170900406889,1.80643615682988,0.0025980462595751,2.40052994395624,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2020-01-02,"United Kingdom",0,0.422112298018663,0,3,0,3,0,5,0,5,0.0873161369698591,1.34098855350791,0.0364375567886125,1.72344206681883,0.00638534523965025,2.20734403345838,0.000971789284955085,3.08492737885034,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2020-01-02,"United States",1,1.7265603760676,0,7,0,8,0,11,0,11,1.03349423417167,2.61945659215038,0.827792424471352,3.00282228285605,0.553057988344081,3.41510190755926,0.353470305150545,4.08886072021682,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2020-01-02,"United States Aggregated",3,2.87027508688321,0,9,0,9,0,13,0,14,1.63394794078934,4.69264790835067,1.35239539008019,5.24250115754536,1.03301003705514,5.92800798965256,0.866961990018396,6.79713524355654,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2020-01-02,"Washington",0,0.449500696146583,0,4,0,5,0,7,0,7,0.0933964664143217,1.27710574741924,0.0479081923677318,1.57321595726162,0.0144936464698067,2.07321331827717,0.00282362363959516,2.45586469421517,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2020-01-03,"Belgium",0,0.337010068374424,0,3,0,3,0,5,0,7,0.0554946193093774,1.16786280782593,0.020444460277055,1.60546782651438,0.00637993933143125,1.93064293431857,0.00114163600715332,2.57483156141833,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2020-01-03,"California",0,0.334500433803862,0,3,0,4,0,5,0,5,0.0661454937144049,0.880124124577531,0.0289761429262349,1.1883362199012,0.00760083569601889,1.60019118206583,0.00120795561805181,2.12508436872418,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2020-01-03,"Canada",0,0.50892860714099,0,4,0,4,0,6,0,8,0.116703925207863,1.52804362745529,0.0559267298315552,1.94071428779016,0.0128042754038461,2.6016184408755,0.0031588504449036,3.11468901543581,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2020-01-03,"France",0,0.767265005838742,0,5,0,5,0,5,0,7,0.204681285123583,1.87353192187965,0.0804752055702296,2.24969520788428,0.0178499466972332,2.73133204430412,0.00579339406477589,3.30929206735684,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2020-01-03,"Germany",0,0.30063093450368,0,3,0,4,0,4,0,4,0.0620503732279972,0.989724062415081,0.0273556443914488,1.30888129763121,0.0072053959607454,1.70421885856676,0.00200890394660081,2.01782409327817,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2020-01-03,"Hubei",1,1.76025700667425,0,7,0,7,0,10,0,11,0.840353208283805,2.68936931729242,0.596871003295894,2.97117662071425,0.232112707987626,3.44029696908561,0.0399949615838278,3.91121439622404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2020-01-03,"Iran",0,0.446719942087437,0,4,0,5,0,6,0,6,0.0814513223735085,1.37002855536442,0.033392861738486,1.64996178747714,0.0128916593772686,2.4043706203685,0.00515758452658071,2.78933880630466,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2020-01-03,"Italy",0,0.539162003294149,0,4,0,5,0,5,0,9,0.128439214493409,1.36198263685599,0.0560646508257562,1.60936058624275,0.0190052982516428,2.1051360155439,0.00286658643267872,2.60284327606906,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2020-01-03,"Louisiana",0,0.298861073994687,0,3,0,4,0,5,0,7,0.0505011650256699,0.978630642462192,0.0238541149823538,1.25945656577932,0.00664410070855919,1.76788347910788,0.00135830413014346,2.56397075217124,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2020-01-03,"Michigan",0,0.332604111101008,0,3,0,4,0,5,0,5,0.0698905166452071,1.09161517891053,0.0284869569601011,1.47836427819855,0.0077871288410272,1.88806521154988,0.00252036867765801,2.57214786033862,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2020-01-03,"Netherlands",0,0.437575111996274,0,4,0,4,0,5,0,6,0.0908465936053969,1.18814510376819,0.0324055264806922,1.51673195550509,0.0138997216862234,1.89629514530053,0.00465281570629054,2.60470981068753,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2020-01-03,"New Jersey",0,0.471170818679097,0,3,0,4,0,6,0,6,0.100416868522672,1.27136802311645,0.0449889095103865,1.56200311859974,0.0136011414384496,2.06388947088999,0.00209791511251725,2.80662637752672,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2020-01-03,"New York",0,0.319399164313674,0,4,0,4,0,4,0,6,0.0613653512176294,1.08517789785386,0.0295858593178978,1.33129622914623,0.00916060268313085,1.85676852460067,0.00110907421853164,2.77733565659277,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2020-01-03,"Spain",0,0.350219638824742,0,4,0,4,0,5,0,7,0.0681972094993833,1.22108207935661,0.0340025881081245,1.61316170847604,0.0127567667153898,2.30017389586674,0.00548904067247509,2.89401046027117,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2020-01-03,"Sweden",0,0.402093804310787,0,2,0,4,0,5,0,8,0.0757246075856846,1.07530544828555,0.0337168213113712,1.35664530468856,0.0158029298324005,1.86826676017821,0.00189062884383723,2.21990467997369,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2020-01-03,"Switzerland",0,0.34341100768749,0,3,0,4,0,4,0,6,0.0700302362424754,1.0868107416322,0.0279276333168571,1.39583360636533,0.00690170900406891,1.80643615682988,0.00259804626047355,2.40052994395624,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2020-01-03,"United Kingdom",0,0.422112298018664,0,4,0,5,0,5,0,8,0.0873161369698593,1.34098855350791,0.0364375567886185,1.72344206681883,0.00638534523965902,2.20734403345838,0.000971789285152662,3.08492737885034,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2020-01-03,"United States",1,1.7265603760676,0,5,0,9,0,9,0,12,1.03349423417167,2.61945659215038,0.827792424471353,3.00282228285605,0.553057988344081,3.41510190755926,0.353470305150546,4.08886072021682,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2020-01-03,"United States Aggregated",3,2.87027509176663,0,10,0,11,0,11,0,12,1.63403775593439,4.69264802315171,1.35240289951698,5.24250115816708,1.03303522477092,5.92800799450935,0.86696199717896,6.79713931891388,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2020-01-03,"Washington",0,0.449501366995502,0,3,0,4,0,4,0,9,0.0934152265026419,1.27710574782001,0.0479235181769549,1.5732159577681,0.0145188341854426,2.07321331828545,0.00282638865926352,2.45586472807575,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2020-01-04,"Belgium",0,0.337010068374424,0,3,0,4,0,5,0,5,0.0554946193093774,1.16786280782593,0.020444460277055,1.60546782651438,0.00637993933143125,1.93064293431857,0.00114163600715332,2.57483156141833,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2020-01-04,"California",0,0.334500441748862,0,3,0,4,0,6,0,6,0.0661454974420916,0.880124124582651,0.0289762419866648,1.1883362199015,0.00760086588748661,1.60019118206583,0.00120795582192785,2.12508436883393,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2020-01-04,"Canada",0,0.50892860715626,0,4,0,4,0,5,0,7,0.11670392524009,1.52804362745529,0.0559267321118039,1.94071428779016,0.0128042768867033,2.6016184408755,0.00315885144154761,3.11468901543581,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2020-01-04,"France",0,0.767265005840464,0,4,0,6,0,6,0,7,0.204681285123583,1.87353192187965,0.0804752055702355,2.24969520788428,0.0178499466972349,2.73133204430412,0.00579339406477591,3.30929206735684,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
